string,string,string,string,string,string,string,string,string,string,string,string
11-11-2024,862491071319824,"Patrolman/SSE/PWI/PNT (Sec1-DBRT) SPGN-NTSK : P1(521.000-45.300)",521.000-45.300,SSE(PW)/PNT,SEC(PW)NTSK,Patrolman,"2024-11-11 21:06:33","2024-11-12 04:30:14","14 km",0,0
11-11-2024,862491071243263,"Patrolman/SSE/PWI/FKG (Sec1-FKG/WC) FKG Station - JMI : P28(329.980-328.320)",329.980-328.320,SSE(PW)/FKG,SEC(PW)BBGN,Patrolman,"2024-11-11 20:45:04","2024-11-12 08:59:46","8 km",0,0
11-11-2024,862491071222531,"Patrolman/SSE/PWI/PNT (Sec1-DBRT) LHL-CKW : P2(5.800-10.000)",5.800-10.000,SSE(PW)/PNT,SEC(PW)DBRT,Patrolman,"2024-11-11 20:01:40","2024-11-12 00:45:32","4 km",0,0
11-11-2024,862491071197758,"Patrolman/SSE/PWI/PNT (Sec1-DBRT) LHL-DKM : P3(10.000-18.200)",10.000-18.200,SSE(PW)/PNT,SEC(PW)DBRT,Patrolman,"2024-11-11 20:37:52","2024-11-12 04:48:21","14 km",0,0
11-11-2024,862491071273658,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) FKG-GLGT : P1(0.000-7.080)",0.000-7.080,SSE(PW)/FKG,SEC(PW)BBGN,Patrolman,"2024-11-11 22:00:01","2024-11-12 04:29:55","8 km",0,0
11-11-2024,862491071250649,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) NMGY-BBGN : P4(22.780-31.340)",22.780-31.340,SSE(PW)/FKG,SEC(PW)BBGN,Patrolman,"2024-11-11 21:26:47","2024-11-12 00:40:30","11 km",0,0
11-11-2024,862491071277410,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) DMGN-DGBC-Y/Line : P1(15.8 to 19.100-24.500 to 26.000)","15.8 to 19.100-24.500 to 26.000",SSE(PW)/DBRG,SEC(PW)TNGN,Patrolman,"2024-11-11 20:00:10","2024-11-12 05:44:08","21 km",0,0
11-11-2024,862491071192171,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) BLMR-JTTN : P8(62.250-54.410)",62.250-54.410,SSE(PW)/FKG,SEC(PW)JTTN,Patrolman,"2024-11-11 21:01:12","2024-11-12 04:55:41","14 km",0,0
11-11-2024,862491071308249,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) BLMR-JTTN : P9(67.630-62.250)",67.630-62.250,SSE(PW)/FKG,SEC(PW)JTTN,Patrolman,"2024-11-11 21:00:40","2024-11-12 01:04:57","6 km",0,0
11-11-2024,862491071202178,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) JTTN-CMA : P10(67.630-74.450)",67.630-74.450,SSE(PW)/FKG,SEC(PW)JTTN,Patrolman,"2024-11-11 20:46:02","2024-11-12 07:55:50","14 km",0,0
