date,string,string,string,string,string,string,string,string,string,string,string,string,string
11-11-2024,"Patrolman/SSE/PWI/PNT (Sec1-DBRT) SPGN-NTSK : P1(521.000-45.300)",862491071319824,SSE(PW)/PNT,SEC(PW)NTSK,521.000-45.300,Patrolman,1,521.000,45.300,"3.85 km",14.400,"10.5 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/PNT (Sec1-DBRT) SPGN-NTSK : P1(521.000-45.300)",862491071319824,SSE(PW)/PNT,SEC(PW)NTSK,521.000-45.300,Patrolman,2,521.000,45.300,"3.8 km",14.400,"10.52 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-FKG/WC) FKG Station - JMI : P28(329.980-328.320)",862491071243263,SSE(PW)/FKG,SEC(PW)BBGN,329.980-328.320,Patrolman,1,329.980,328.320,"4.08 km",9.960,"5.88 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/PNT (Sec1-DBRT) LHL-CKW : P2(5.800-10.000)",862491071222531,SSE(PW)/PNT,SEC(PW)DBRT,5.800-10.000,Patrolman,2,5.800,10.000,"7.76 km",16.800,"8.74 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/PNT (Sec1-DBRT) LHL-CKW : P2(5.800-10.000)",862491071222531,SSE(PW)/PNT,SEC(PW)DBRT,5.800-10.000,Patrolman,1,5.800,10.000,"0.7 km",16.800,"15.99 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/PNT (Sec1-DBRT) LHL-DKM : P3(10.000-18.200)",862491071197758,SSE(PW)/PNT,SEC(PW)DBRT,10.000-18.200,Patrolman,2,10.000,18.200,"7.39 km",16.400,"7.07 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/PNT (Sec1-DBRT) LHL-DKM : P3(10.000-18.200)",862491071197758,SSE(PW)/PNT,SEC(PW)DBRT,10.000-18.200,Patrolman,1,10.000,18.200,"2.06 km",16.400,"9.97 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) FKG-GLGT : P1(0.000-7.080)",862491071273658,SSE(PW)/FKG,SEC(PW)BBGN,0.000-7.080,Patrolman,2,0.000,7.080,"0.95 km",14.160,"13.21 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) FKG-GLGT : P1(0.000-7.080)",862491071273658,SSE(PW)/FKG,SEC(PW)BBGN,0.000-7.080,Patrolman,1,0.000,7.080,"0 km",14.160,"14.16 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) GLGT-NMGY : P3(22.780-15.120)",862491071332801,SSE(PW)/FKG,SEC(PW)BBGN,22.780-15.120,Patrolman,1,22.780,15.120,"0 km",15.320,"15.32 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) NMGY-BBGN : P4(22.780-31.340)",862491071250649,SSE(PW)/FKG,SEC(PW)BBGN,22.780-31.340,Patrolman,1,22.780,31.340,"2.26 km",17.120,"11.15 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) DMGN-DGBC-Y/Line : P1(15.8 to 19.100-24.500 to 26.000)",862491071277410,SSE(PW)/DBRG,SEC(PW)TNGN,"15.8 to 19.100-24.500 to 26.000",Patrolman,1,"15.8 to 19.100","24.500 to 26.000","4.68 km",4.800,"0.12 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) DMGN-DGBC-Y/Line : P1(15.8 to 19.100-24.500 to 26.000)",862491071277410,SSE(PW)/DBRG,SEC(PW)TNGN,"15.8 to 19.100-24.500 to 26.000",Patrolman,2,"15.8 to 19.100","24.500 to 26.000","3.41 km",4.800,"1.35 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) TNGN-DGBC : P3(25.700-32.400)",862491071250979,SSE(PW)/DBRG,SEC(PW)TNGN,25.700-32.400,Patrolman,1,25.700,32.400,"0.31 km",6.700,"6.35 km","Duty Not Completed"
11-11-2024,"Stock/SSE/PWI/DBRG (Sec1-TNGN) -- : Stock(---)",862491071224164,SSE(PW)/DBRG,SEC(PW)TNGN,-,Stock,1,,,"6.07 km",6.800,"0.67 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) KOWN-MRHT : P9(11.800-6.000)",862491071272965,SSE(PW)/DBRG,SEC(PW)TNGN,11.800-6.000,Patrolman,3,11.800,6.000,"0 km",5.800,"5.73 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) KOWN-MRHT : P9(11.800-6.000)",862491071272965,SSE(PW)/DBRG,SEC(PW)TNGN,11.800-6.000,Patrolman,2,11.800,6.000,"0 km",5.800,"5.73 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) LPK-DBRG : P11(21.800-12.000)",862491071267767,SSE(PW)/DBRG,SEC(PW)TNGN,21.800-12.000,Patrolman,1,21.800,12.000,"3.02 km",9.800,"6.78 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) BLMR-JTTN : P8(62.250-54.410)",862491071192171,SSE(PW)/FKG,SEC(PW)JTTN,62.250-54.410,Patrolman,1,62.250,54.410,"5.33 km",15.680,"10.15 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) BLMR-JTTN : P8(62.250-54.410)",862491071192171,SSE(PW)/FKG,SEC(PW)JTTN,62.250-54.410,Patrolman,2,62.250,54.410,"5.85 km",15.680,"9.57 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) DBRG-LPK : P12(2.600-12.000)",862491071255234,SSE(PW)/DBRG,SEC(PW)TNGN,2.600-12.000,Patrolman,1,2.600,12.000,"3.32 km",9.400,"5.99 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) BLMR-JTTN : P9(67.630-62.250)",862491071308249,SSE(PW)/FKG,SEC(PW)JTTN,67.630-62.250,Patrolman,1,67.630,62.250,"5.7 km",10.760,"5.01 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) BLMR-JTTN : P9(67.630-62.250)",862491071308249,SSE(PW)/FKG,SEC(PW)JTTN,67.630-62.250,Patrolman,2,67.630,62.250,"2.79 km",10.760,"7.97 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) JTTN-CMA : P10(67.630-74.450)",862491071202178,SSE(PW)/FKG,SEC(PW)JTTN,67.630-74.450,Patrolman,2,67.630,74.450,"6.15 km",13.640,"7.45 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) JTTN-CMA : P10(67.630-74.450)",862491071202178,SSE(PW)/FKG,SEC(PW)JTTN,67.630-74.450,Patrolman,1,67.630,74.450,"7.27 km",13.640,"5.58 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) BBNB:SBGN : P6(381.72-384.97)",862491071251167,SSE/PW/SPTR,SEC(PW)DMC,-,Patrolman,1,,,"5.57 km",9.320,"3.75 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) BBNB:SBGN : P6(381.72-384.97)",862491071251167,SSE/PW/SPTR,SEC(PW)DMC,-,Patrolman,2,,,"6.27 km",9.320,"2.85 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) SPTR-ACPR : P8(388.23-397.66)",862491071325839,SSE/PW/SPTR,SEC(PW)DMC,388.23-397.66,Patrolman,2,388.23,397.66,"5.45 km",26.000,"17.58 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) SPTR-ACPR : P8(388.23-397.66)",862491071325839,SSE/PW/SPTR,SEC(PW)DMC,388.23-397.66,Patrolman,1,388.23,397.66,"9.19 km",26.000,"15.92 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) ACPR-DIPA : P9(397.66-407.55)",862491071247363,SSE/PW/SPTR,SEC(PW)DMC,397.66-407.55,Patrolman,1,397.66,407.55,"6.52 km",15.860,"6.99 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) ACPR-DIPA : P9(397.66-407.55)",862491071247363,SSE/PW/SPTR,SEC(PW)DMC,397.66-407.55,Patrolman,2,397.66,407.55,"9.45 km",15.860,"6.28 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) JIZ - T Q M : P11(416.03-424.63)",862491071327322,SSE/PW/SPTR,SEC(PW)DMC,416.03-424.63,Patrolman,1,416.03,424.63,"5.23 km",18.600,"13.29 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) JIZ - T Q M : P11(416.03-424.63)",862491071327322,SSE/PW/SPTR,SEC(PW)DMC,416.03-424.63,Patrolman,2,416.03,424.63,"7.49 km",18.600,"11.02 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) CMA-MXN : P12(85.510-79.880)",862491071216061,SSE(PW)/FKG,SEC(PW)JTTN,85.510-79.880,Patrolman,2,85.510,79.880,"2.77 km",11.260,"8.49 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) CMA-MXN : P12(85.510-79.880)",862491071216061,SSE(PW)/FKG,SEC(PW)JTTN,85.510-79.880,Patrolman,1,85.510,79.880,"5.31 km",11.260,"5.92 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) LBI-BGND : P4(304.270-308.800)",862491071272163,SSE/PW/NLP(E),SEC/PW/NLP,304.270-308.800,Patrolman,1,304.270,308.800,"7.58 km",18.120,"10.43 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) LBI-BGND : P4(304.270-308.800)",862491071272163,SSE/PW/NLP(E),SEC/PW/NLP,304.270-308.800,Patrolman,2,304.270,308.800,"9.22 km",18.120,"8.39 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/NLP/E (Sec1-NLP) LBI-BGND : P7(321.190-317.600)",862491071283061,SSE/PW/NLP(E),SEC/PW/NLP,321.190-317.600,Patrolman,1,321.190,317.600,"7.86 km",14.360,"6.25 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) BBGN-BLMR : P6(39.830-47.110)",862491071222192,SSE(PW)/FKG,SEC(PW)BBGN,39.830-47.110,Patrolman,2,39.830,47.110,"0 km",,"-0.42 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) BBGN-BLMR : P6(39.830-47.110)",862491071222192,SSE(PW)/FKG,SEC(PW)BBGN,39.830-47.110,Patrolman,3,39.830,47.110,"0 km",0.0,"0 km","Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) BBGN-BLMR : P6(39.830-47.110)",862491071222192,SSE(PW)/FKG,SEC(PW)BBGN,39.830-47.110,Patrolman,1,39.830,47.110,"0 km",0.0,"0 km","Duty Not Completed"
