date,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
11-11-2024,"Patrolman/SSE/PWI/PNT (Sec1-DBRT) SPGN-NTSK : P1(521.000-45.300)",862491071319824,SSE(PW)/PNT,SEC(PW)NTSK,521.000-45.300,Patrolman,1,521.000,45.300,21:06:33,22:59:49,01:52:38,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/PNT (Sec1-DBRT) LHL-CKW : P2(5.800-10.000)",862491071222531,SSE(PW)/PNT,SEC(PW)DBRT,5.800-10.000,Patrolman,2,5.800,10.000,19:25:16,22:55:09,03:19:46,19:00:00,05:00:00,14,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/PNT (Sec1-DBRT) LHL-DKM : P3(10.000-18.200)",862491071197758,SSE(PW)/PNT,SEC(PW)DBRT,10.000-18.200,Patrolman,1,10.000,18.200,19:02:53,21:58:32,01:08:32,19:00:00,05:00:00,14,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) FKG-GLGT : P1(0.000-7.080)",862491071273658,SSE(PW)/FKG,SEC(PW)BBGN,0.000-7.080,Patrolman,2,0.000,7.080,22:00:01,22:59:03,00:59:02,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) GLGT-NMGY : P3(22.780-15.120)",862491071332801,SSE(PW)/FKG,SEC(PW)BBGN,22.780-15.120,Patrolman,1,22.780,15.120,21:48:47,21:59:36,00:10:49,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-BBGN) NMGY-BBGN : P4(22.780-31.340)",862491071250649,SSE(PW)/FKG,SEC(PW)BBGN,22.780-31.340,Patrolman,1,22.780,31.340,21:26:47,22:58:32,01:19:25,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) DMGN-DGBC-Y/Line : P1(15.8 to 19.100-24.500 to 26.000)",862491071277410,SSE(PW)/DBRG,SEC(PW)TNGN,"15.8 to 19.100-24.500 to 26.000",Patrolman,1,"15.8 to 19.100","24.500 to 26.000",19:27:42,22:52:11,03:01:52,19:00:00,04:30:00,14,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) TNGN-DGBC : P3(25.700-32.400)",862491071250979,SSE(PW)/DBRG,SEC(PW)TNGN,25.700-32.400,Patrolman,1,25.700,32.400,19:35:42,21:58:29,02:09:20,19:00:00,04:30:00,14,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) MRHT-KOWN : P8(0.000-6.000)",862491071209504,SSE(PW)/DBRG,SEC(PW)TNGN,0.000-6.000,Patrolman,1,0.000,6.000,20:03:13,22:59:44,02:43:08,20:00:00,04:30:00,15,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) LPK-DBRG : P11(21.800-12.000)",862491071267767,SSE(PW)/DBRG,SEC(PW)TNGN,21.800-12.000,Patrolman,1,21.800,12.000,20:03:13,21:58:58,01:55:07,20:00:00,04:30:00,15,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) BLMR-JTTN : P8(62.250-54.410)",862491071192171,SSE(PW)/FKG,SEC(PW)JTTN,62.250-54.410,Patrolman,1,62.250,54.410,21:01:12,22:53:20,01:49:12,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/DBRG (Sec1-TNGN) DBRG-LPK : P12(2.600-12.000)",862491071255234,SSE(PW)/DBRG,SEC(PW)TNGN,2.600-12.000,Patrolman,1,2.600,12.000,20:01:53,21:57:45,01:52:13,20:00:00,04:30:00,15,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/FKG (Sec1-JTTN) BLMR-JTTN : P9(67.630-62.250)",862491071308249,SSE(PW)/FKG,SEC(PW)JTTN,67.630-62.250,Patrolman,1,67.630,62.250,21:00:40,22:58:14,01:56:55,21:00:00,05:00:00,16,"Duty Not Completed"
11-11-2024,"Patrolman/SSE/PWI/SPTR (Sec1-DMC) BBNB:SBGN : P6(381.72-384.97)",862491071251167,SSE/PW/SPTR,SEC(PW)DMC,-,Patrolman,2,,,19:10:02,22:59:43,03:42:04,19:00:00,04:30:00,14,"Duty Not Completed"
