date,string,string,string,string,string,string,string,string
2024-11-11,"Sr DEN Cord",Div-Stock,7,0,0,7,0,
2024-11-11,SSE(PW)/MRG,JE(PW)MRG/Sec,3,2,1,0,3,
2024-11-11,SSE(PW)/MXN,JE(PW)TTB,7,5,2,0,7,
2024-11-11,SSE(PW)/SLGR/E,SEC(PW)AGI,21,9,4,8,13,
2024-11-11,SSE(PW)/FKG,SEC(PW)BBGN,8,2,5,1,7,
2024-11-11,SSE(PW)/PNT,SEC(PW)DBRT,8,2,2,4,4,
2024-11-11,SSE/PW/SPTR,SEC(PW)DMC,21,5,9,7,14,
2024-11-11,SSE(PW)/FKG,SEC(PW)JTTN,8,2,4,2,6,
2024-11-11,SSE(PW)/SLGR/E,SEC(PW)LXA,7,3,0,4,3,
2024-11-11,SSE(PW)/MRG,SEC(PW)MJN,7,4,2,1,6,
2024-11-11,SSE(PW)/SLGR/W,SEC(PW)MRHT,13,3,1,9,4,
2024-11-11,SSE(PW)/MXN,SEC(PW)MXN/Sec,7,2,3,2,5,
2024-11-11,SSE(PW)/NAM,SEC(PW)NHK,6,0,5,1,5,
2024-11-11,SSE/PW/NLP(E),SEC/PW/NLP,27,2,15,10,17,
2024-11-11,SSE(PW)/PNT,SEC(PW)NTSK,4,1,1,2,2,
2024-11-11,SSE(PW)/NAM,SEC(PW)SPK,14,7,4,3,11,
2024-11-11,SSE(PW)/SLGR/W,SEC(PW)SRTN,5,3,0,2,3,
2024-11-11,SSE(PW)/DBRG,SEC(PW)TNGN,13,4,7,2,11,
2024-11-11,SSE(PW)/PNT,SEC(PW)TSK/Sec,1,1,0,0,1,
