date,string,string,string,string,string,string,string,string,string,string
2024-09-12,"Sr DEN Cord",Div-Stock,11,0,0,11,0,00:00:00,"0% Beat Not Covered",
2024-09-12,SSE(PW)/MRG,JE(PW)MRG/Sec,3,2,1,0,3,29:04:38,"66.67% Beat Not Covered",
2024-09-12,SSE(PW)/MXN,JE(PW)TTB,7,6,1,0,7,71:51:46,"85.71% Beat Not Covered",
2024-09-12,SSE(PW)/SLGR/E,SEC(PW)AGI,21,8,3,10,11,117:42:57,"72.73% Beat Not Covered",
2024-09-12,SSE(PW)/FKG,SEC(PW)BBGN,10,2,6,2,8,108:47:24,"25.00% Beat Not Covered",
2024-09-12,SSE(PW)/PNT,SEC(PW)DBRT,9,3,1,5,4,03:57:29,"75.00% Beat Not Covered",
2024-09-12,SSE/PW/SPTR,SEC(PW)DMC,20,2,11,7,13,216:43:30,"15.38% Beat Not Covered",
2024-09-12,SSE(PW)/FKG,SEC(PW)JTTN,6,1,5,0,6,118:53:37,"16.67% Beat Not Covered",
2024-09-12,SSE(PW)/SLGR/E,SEC(PW)LXA,7,4,1,2,5,02:20:56,"80.00% Beat Not Covered",
2024-09-12,SSE(PW)/MRG,SEC(PW)MJN,7,3,2,2,5,49:25:41,"60.00% Beat Not Covered",
2024-09-12,SSE(PW)/SLGR/W,SEC(PW)MRHT,9,0,3,6,3,51:14:29,"0.00% Beat Not Covered",
2024-09-12,SSE(PW)/MXN,SEC(PW)MXN/Sec,7,4,1,2,5,46:26:47,"80.00% Beat Not Covered",
2024-09-12,SSE(PW)/NAM,SEC(PW)NHK,7,2,4,1,6,143:51:45,"33.33% Beat Not Covered",
2024-09-12,SSE/PW/NLP(E),SEC/PW/NLP,18,1,17,0,18,382:54:59,"5.56% Beat Not Covered",
2024-09-12,SSE(PW)/PNT,SEC(PW)NTSK,3,1,1,1,2,30:32:59,"50.00% Beat Not Covered",
2024-09-12,SSE(PW)/NAM,SEC(PW)SPK,17,2,4,11,6,98:34:21,"33.33% Beat Not Covered",
2024-09-12,SSE(PW)/SLGR/W,SEC(PW)SRTN,5,2,2,1,4,91:39:06,"50.00% Beat Not Covered",
2024-09-12,SSE(PW)/DBRG,SEC(PW)TNGN,11,9,2,0,11,25:06:59,"81.82% Beat Not Covered",
2024-09-12,SSE(PW)/PNT,SEC(PW)TSK/Sec,1,1,0,0,1,00:00:00,"0% Beat Not Covered",
